264183816548130816	positive	Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
263405084770172928	negative	Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday.
262163168678248449	negative	its not that I'm a GSP fan, i just hate Nick Diaz. can't wait for february.
264249301910310912	negative	Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
264105751826538497	positive	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
264094586689953794	negative	Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.
212392538055778304	neutral	Why is "Happy Valentines Day" trending? It's on the 14th of February not 12th of June smh..
254941790757601280	negative	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
264169034155696130	neutral	Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched
263192091700654080	neutral	Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG
263398998675693568	positive	@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
260200142420992000	neutral	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics
264087629237202944	positive	@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked
250692636330049538	neutral	@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
263304719471087617	neutral	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://t.co/9wWvxEbf
263956867787673600	positive	Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116
263975113404342273	neutral	Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
257343699460173824	positive	One ticket left for the @49ers game tomorrow!  Don't miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!
264125591337463808	negative	AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him.
264259830590603264	negative	Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...
257239661976625152	neutral	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF's gonna be cuuuuhraaaaaaaazeeeee
264223934403211264	neutral	@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play
264041764460036096	positive	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit
264102295392882689	positive	@TheFFAddict I had Vick and Flacco, needed an upgrade.  Vick may get benched, Jennings a back up again soon. I thought it was a win for me.
264173636141850626	positive	@lisahochstein KEY LARGO, FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur's!!
264071572925603841	positive	Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC
262115068320284672	positive	@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..
264239636799430656	neutral	BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://t.co/DCTgeSED
264250109833924608	positive	YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!
257951107530252289	negative	@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &the hosp.now she's saying how weird it was for Keiffer's
263502599699955712	negative	@MyBeautyisBrown LMFAO his big ass get on my nerves, you going to class tomorrow?
236665189502681089	neutral	Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt
262384414623936512	neutral	C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
263936581734383617	negative	@thehuwdavies you think the Boro will beat Swansea? I'm not so sure, December/January is when we implode
249228128302551040	neutral	At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare
263346444772184065	positive	@JennetteMcHevan I have studied all day but tomorrow I'm going out with friends! :D Omg Jennette did?!!!! I'm gonna look! <3
263970913270251520	positive	Good morning Thursday. "Life is fragile. We're not guaranteed a tomorrow so give it everything you've got." - Tim Cook [Do it for Jobs!]
264162997088436224	positive	#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg
259821574394355712	positive	@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)
264011728084410369	neutral	#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor, second to Tom Brady's 6, tied w/ TD.
264120483384008704	neutral	@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!
263939499426476032	positive	@jackseymour11 I may have an Android phone by the time I get back to school! :)
264056733691961345	neutral	Andre's Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League,... http://t.co/3mo7WIWd
261965816906534912	neutral	@juice005 strange enough, I'm going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch
264042275108188160	neutral	When my professor passes out candy and says "a very small amount of that may be from Valentines day, just so you know"
263656013541027840	neutral	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter
165044172858986496	negative	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh
264230416897159168	positive	taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.
263809311086628864	positive	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up
